,business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,Neighborhoods (old),Police Districts,Supervisor Districts,Zip Codes,Analysis Neighborhoods,year,month,day
488,268,94123.0,37.800767,-122.436924,82.0,103149.0,1.0,17.0,9.0,1.0,57.0,13.0,2019,8,13
500,2750,94114.0,37.750778000000004,-122.43406499999999,96.0,103124.0,1.0,22.0,4.0,5.0,28862.0,22.0,2019,9,11
507,3256,94112.0,37.709737,-122.45007,94.0,103154.0,1.0,25.0,7.0,6.0,28861.0,28.0,2019,6,4
525,5206,94115.0,37.780567,-122.43196499999999,91.0,103109.0,1.0,41.0,9.0,11.0,29490.0,39.0,2019,7,3
532,2717,94118.0,37.782823,-122.46635900000001,76.0,103157.0,2.0,11.0,6.0,2.0,54.0,11.0,2019,1,25
534,3165,94121.0,37.776599,-122.478292,85.0,103124.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,6,4
540,59025,94104.0,37.791308,-122.40013400000001,84.0,103148.0,4.0,6.0,1.0,10.0,28854.0,8.0,2019,6,11
544,39119,94118.0,37.781147999999995,-122.46376200000002,90.0,103147.0,4.0,11.0,6.0,2.0,54.0,11.0,2019,6,26
545,5905,94123.0,37.801776000000004,-122.43641000000001,94.0,103147.0,4.0,17.0,9.0,1.0,57.0,13.0,2019,9,25
552,36875,94108.0,37.790184,-122.408468,94.0,103150.0,4.0,6.0,1.0,10.0,28857.0,8.0,2019,6,4
557,61494,94124.0,37.731902000000005,-122.391576,61.0,103109.0,1.0,1.0,3.0,8.0,58.0,1.0,2018,7,18
559,65051,94110.0,37.761146999999994,-122.42153400000001,90.0,103124.0,1.0,19.0,4.0,5.0,28859.0,20.0,2019,5,29
561,1154,94103.0,37.764678,-122.42190500000001,46.0,103119.0,4.0,19.0,4.0,5.0,28859.0,20.0,2019,3,27
568,19403,94133.0,37.805493,-122.41440700000001,96.0,103144.0,2.0,23.0,1.0,10.0,308.0,23.0,2019,7,3
578,69181,94110.0,37.760777000000004,-122.42150500000001,96.0,103124.0,1.0,19.0,4.0,5.0,28859.0,20.0,2019,5,29
592,3491,94109.0,37.787677,-122.413624,88.0,103119.0,4.0,21.0,1.0,10.0,28858.0,21.0,2019,5,30
601,18102,94121.0,37.775728,-122.497701,86.0,103149.0,1.0,26.0,6.0,2.0,55.0,29.0,2017,2,3
610,16441,94134.0,37.728718,-122.404101,74.0,103154.0,1.0,28.0,3.0,7.0,309.0,25.0,2019,9,12
616,3586,94118.0,37.782113,-122.44917099999999,83.0,103131.0,1.0,16.0,6.0,2.0,54.0,18.0,2019,8,5
621,71356,94117.0,37.765644,-122.449974,87.0,103124.0,1.0,9.0,5.0,11.0,29492.0,3.0,2017,6,6
624,34814,94108.0,37.790324,-122.404774,87.0,103144.0,2.0,6.0,1.0,10.0,28857.0,8.0,2019,10,2
631,2797,94109.0,37.785358,-122.421357,88.0,103120.0,3.0,36.0,9.0,11.0,28858.0,36.0,2019,5,30
634,2299,94109.0,37.788476,-122.422099,96.0,103156.0,2.0,41.0,9.0,1.0,28858.0,39.0,2019,8,15
638,68430,94103.0,37.784103,-122.403669,96.0,103124.0,1.0,6.0,2.0,9.0,28853.0,8.0,2018,1,4
647,16329,94124.0,37.749798,-122.39596200000001,80.0,103120.0,3.0,1.0,3.0,8.0,28856.0,1.0,2019,8,6
648,480,94133.0,37.799058,-122.40721699999999,82.0,103103.0,3.0,23.0,1.0,10.0,308.0,23.0,2019,6,11
651,16441,94134.0,37.728718,-122.404101,74.0,103120.0,3.0,28.0,3.0,7.0,309.0,25.0,2019,9,12
655,442,94133.0,37.797828,-122.407474,85.0,103154.0,1.0,4.0,1.0,10.0,308.0,6.0,2019,8,22
658,64380,94111.0,37.793338,-122.399583,88.0,103143.0,4.0,6.0,1.0,10.0,28860.0,8.0,2019,5,30
661,59574,94110.0,37.755479,-122.41758300000001,85.0,103161.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,9,11
678,65692,94121.0,37.780234,-122.479979,94.0,103120.0,3.0,26.0,6.0,2.0,55.0,29.0,2019,8,14
682,68451,94103.0,37.784548,-122.40418999999999,74.0,103109.0,1.0,6.0,2.0,9.0,28853.0,8.0,2018,2,26
683,1652,94105.0,37.785037,-122.40043200000001,96.0,103154.0,1.0,6.0,2.0,9.0,28853.0,8.0,2019,6,11
684,1832,94108.0,37.790125,-122.403924,71.0,103124.0,1.0,6.0,1.0,10.0,28854.0,8.0,2018,12,3
696,952,94122.0,37.763512,-122.47958,81.0,103114.0,1.0,35.0,8.0,3.0,56.0,35.0,2018,6,28
700,4864,94110.0,37.759174,-122.41906599999999,76.0,103124.0,1.0,19.0,4.0,7.0,28859.0,20.0,2017,10,24
707,1154,94103.0,37.764678,-122.42190500000001,46.0,103116.0,3.0,19.0,4.0,5.0,28859.0,20.0,2019,3,27
717,68430,94103.0,37.784103,-122.403669,92.0,103150.0,4.0,6.0,2.0,9.0,28853.0,8.0,2019,7,24
729,5859,94134.0,37.720656,-122.40510800000001,98.0,103144.0,2.0,28.0,3.0,7.0,309.0,25.0,2019,9,12
740,3951,94121.0,37.779962,-122.48508700000001,79.0,103142.0,1.0,26.0,6.0,2.0,55.0,29.0,2017,9,20
741,67985,94103.0,37.774722,-122.40676100000002,88.0,103154.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,9,23
745,68916,94103.0,37.775647,-122.40645900000001,84.0,103116.0,3.0,34.0,2.0,9.0,28853.0,34.0,2019,8,5
746,63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103119.0,4.0,23.0,1.0,10.0,308.0,23.0,2019,8,14
752,3982,94103.0,37.771501,-122.413439,86.0,103154.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,8,1
754,27949,94121.0,37.775663,-122.49795900000001,82.0,103154.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,9,23
755,69753,94115.0,37.788834,-122.43401999999999,96.0,103154.0,1.0,27.0,9.0,1.0,29490.0,30.0,2019,8,6
768,1991,94122.0,37.764072999999996,-122.507779,81.0,103118.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,8,14
779,4844,94116.0,37.743190999999996,-122.473903,94.0,103142.0,1.0,40.0,8.0,4.0,29491.0,41.0,2018,7,17
792,3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103131.0,1.0,21.0,9.0,10.0,28858.0,21.0,2019,2,14
822,63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103156.0,2.0,23.0,1.0,10.0,308.0,23.0,2019,8,14
824,3211,94122.0,37.763503,-122.47774799999999,90.0,103139.0,3.0,35.0,8.0,3.0,56.0,35.0,2019,8,14
828,2717,94118.0,37.782823,-122.46635900000001,76.0,103133.0,1.0,11.0,6.0,2.0,54.0,11.0,2019,1,25
832,60472,94108.0,37.789995000000005,-122.405484,81.0,103154.0,1.0,6.0,1.0,10.0,28857.0,8.0,2019,5,31
833,63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103120.0,3.0,23.0,1.0,10.0,308.0,23.0,2019,8,14
836,16441,94134.0,37.728718,-122.404101,74.0,103109.0,1.0,28.0,3.0,7.0,309.0,25.0,2019,9,12
849,37482,94127.0,37.740144,-122.46656899999999,92.0,103144.0,2.0,40.0,8.0,4.0,59.0,41.0,2018,2,22
864,64380,94111.0,37.793338,-122.399583,88.0,103124.0,1.0,6.0,1.0,10.0,28860.0,8.0,2019,5,30
870,3221,94122.0,37.764108,-122.46551200000002,88.0,103131.0,1.0,12.0,8.0,11.0,56.0,14.0,2017,11,7
878,67985,94103.0,37.774722,-122.40676100000002,88.0,103124.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,9,23
886,994,94127.0,37.731513,-122.45133,96.0,103157.0,2.0,40.0,7.0,4.0,59.0,41.0,2017,10,10
889,68865,94108.0,37.795165999999995,-122.405924,87.0,103133.0,1.0,4.0,1.0,10.0,28857.0,6.0,2019,9,10
893,7493,94110.0,37.758817,-122.416522,90.0,103120.0,3.0,19.0,4.0,7.0,28859.0,20.0,2019,9,6
900,16751,94103.0,37.768654,-122.415586,84.0,103132.0,3.0,19.0,4.0,7.0,28853.0,20.0,2019,8,1
907,1994,94112.0,37.715469,-122.441846,85.0,103124.0,1.0,25.0,7.0,6.0,28861.0,28.0,2019,6,17
913,65856,94101.0,37.774998,-122.418299,84.0,103144.0,2.0,19.0,2.0,9.0,28853.0,20.0,2019,8,28
914,6500,94115.0,37.788638,-122.442217,84.0,103119.0,4.0,27.0,6.0,1.0,29490.0,30.0,2019,8,5
936,2690,94110.0,37.745515999999995,-122.420004,87.0,103154.0,1.0,2.0,7.0,7.0,28859.0,2.0,2019,7,8
939,2580,94103.0,37.773174,-122.40311000000001,92.0,103150.0,4.0,34.0,2.0,9.0,28853.0,34.0,2019,8,5
944,39824,94105.0,37.790958,-122.396042,86.0,103119.0,4.0,6.0,2.0,9.0,28855.0,8.0,2019,8,1
955,61494,94124.0,37.731902000000005,-122.391576,61.0,103116.0,3.0,1.0,3.0,8.0,58.0,1.0,2018,7,18
962,37688,94107.0,37.781127000000005,-122.40010900000001,94.0,103149.0,1.0,34.0,2.0,9.0,28856.0,34.0,2019,6,4
963,3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103147.0,4.0,21.0,9.0,10.0,28858.0,21.0,2019,2,14
969,7635,94124.0,37.732545,-122.37665700000001,92.0,103144.0,2.0,1.0,3.0,8.0,58.0,1.0,2019,7,9
981,1350,94118.0,37.782833000000004,-122.46615,71.0,103103.0,3.0,11.0,6.0,2.0,54.0,11.0,2019,6,7
982,34708,94110.0,37.738893,-122.414078,82.0,103103.0,3.0,2.0,7.0,7.0,28859.0,2.0,2019,8,14
989,1671,94107.0,37.757948,-122.38886200000002,92.0,103133.0,1.0,29.0,3.0,8.0,28856.0,26.0,2019,6,24
990,7635,94124.0,37.732545,-122.37665700000001,92.0,103119.0,4.0,1.0,3.0,8.0,58.0,1.0,2019,7,9
992,1269,94105.0,37.790944,-122.392051,94.0,103154.0,1.0,6.0,2.0,9.0,28855.0,8.0,2019,7,16
1002,3951,94121.0,37.779962,-122.48508700000001,79.0,103133.0,1.0,26.0,6.0,2.0,55.0,29.0,2017,9,20
1003,16751,94103.0,37.768654,-122.415586,84.0,103154.0,1.0,19.0,4.0,7.0,28853.0,20.0,2019,8,1
1011,61643,94105.0,37.788983,-122.40162600000001,85.0,103103.0,3.0,6.0,2.0,9.0,28855.0,8.0,2019,6,17
1028,21143,94107.0,37.783272,-122.398204,88.0,103119.0,4.0,6.0,2.0,9.0,28856.0,8.0,2019,7,19
1040,39824,94105.0,37.790958,-122.396042,86.0,103125.0,3.0,6.0,2.0,9.0,28855.0,8.0,2019,8,1
1041,4533,94108.0,37.795594,-122.408204,79.0,103150.0,4.0,4.0,1.0,10.0,28857.0,6.0,2017,8,1
1051,59025,94104.0,37.791308,-122.40013400000001,84.0,103145.0,3.0,6.0,1.0,10.0,28854.0,8.0,2019,6,11
1052,480,94133.0,37.799058,-122.40721699999999,82.0,103107.0,3.0,23.0,1.0,10.0,308.0,23.0,2019,6,11
1056,67602,94103.0,37.784317,-122.40756299999998,96.0,103139.0,3.0,34.0,2.0,9.0,28853.0,34.0,2017,10,11
1058,4864,94110.0,37.759174,-122.41906599999999,76.0,103144.0,2.0,19.0,4.0,7.0,28859.0,20.0,2017,10,24
1066,64380,94111.0,37.793338,-122.399583,88.0,103150.0,4.0,6.0,1.0,10.0,28860.0,8.0,2019,5,30
1068,69753,94115.0,37.788834,-122.43401999999999,96.0,103139.0,3.0,27.0,9.0,1.0,29490.0,30.0,2019,8,6
1070,24534,94107.0,37.778534,-122.39321899999999,88.0,103131.0,1.0,34.0,2.0,9.0,28856.0,34.0,2019,7,18
1082,59520,94121.0,37.779663,-122.493618,90.0,103119.0,4.0,26.0,6.0,2.0,55.0,29.0,2019,5,29
1086,61500,94118.0,37.781143,-122.459709,94.0,103144.0,2.0,11.0,6.0,2.0,54.0,11.0,2019,7,2
1091,59520,94121.0,37.779663,-122.493618,90.0,103149.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,5,29
1104,62462,94102.0,37.781518,-122.416982,83.0,103142.0,1.0,36.0,10.0,9.0,28852.0,36.0,2019,6,12
1106,34046,94121.0,37.779373,-122.4999,86.0,103138.0,3.0,26.0,6.0,2.0,55.0,29.0,2019,9,20
1108,1954,94122.0,37.763388,-122.48189199999999,94.0,103138.0,3.0,35.0,8.0,3.0,56.0,35.0,2019,7,12
1110,552,94122.0,37.763428000000005,-122.48173600000001,84.0,103132.0,3.0,35.0,8.0,3.0,56.0,35.0,2019,8,15
1111,33386,94133.0,37.799065,-122.408355,94.0,103156.0,2.0,23.0,1.0,10.0,308.0,23.0,2019,7,19
1113,1939,94105.0,37.787838,-122.400998,96.0,103149.0,1.0,6.0,2.0,9.0,28855.0,8.0,2019,6,17
1116,5206,94115.0,37.780567,-122.43196499999999,91.0,103154.0,1.0,41.0,9.0,11.0,29490.0,39.0,2019,7,3
1124,21143,94107.0,37.783272,-122.398204,88.0,103133.0,1.0,6.0,2.0,9.0,28856.0,8.0,2019,7,19
1137,25374,94111.0,37.801285,-122.40040400000001,85.0,103154.0,1.0,6.0,1.0,10.0,28860.0,8.0,2019,8,21
1139,35317,94114.0,37.764247999999995,-122.433392,92.0,103133.0,1.0,3.0,5.0,5.0,28862.0,5.0,2018,6,12
1143,6500,94115.0,37.788638,-122.442217,84.0,103133.0,1.0,27.0,6.0,1.0,29490.0,30.0,2019,8,5
1147,816,94124.0,37.722374,-122.39584099999999,88.0,103142.0,1.0,1.0,3.0,8.0,58.0,1.0,2019,7,3
1158,38485,94116.0,37.742058,-122.49869199999999,77.0,103121.0,3.0,35.0,8.0,3.0,29491.0,35.0,2017,1,9
1166,1991,94122.0,37.764072999999996,-122.507779,81.0,103133.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,8,14
1169,628,94115.0,37.786407000000004,-122.44005700000001,79.0,103143.0,4.0,27.0,6.0,1.0,29490.0,30.0,2019,7,29
1172,60472,94108.0,37.789995000000005,-122.405484,81.0,103124.0,1.0,6.0,1.0,10.0,28857.0,8.0,2019,5,31
1174,18825,94114.0,37.751474,-122.43070800000001,85.0,103154.0,1.0,22.0,4.0,5.0,28862.0,22.0,2019,9,18
1176,3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103105.0,3.0,21.0,9.0,10.0,28858.0,21.0,2019,2,14
1177,7055,94110.0,37.756384999999995,-122.41881599999999,82.0,103116.0,3.0,19.0,4.0,7.0,28859.0,20.0,2019,7,30
1180,10990,94122.0,37.753623,-122.489929,86.0,103120.0,3.0,35.0,8.0,3.0,56.0,35.0,2019,7,17
1181,67187,94133.0,37.807922999999995,-122.41788700000001,92.0,103161.0,1.0,23.0,1.0,10.0,308.0,23.0,2019,1,17
1184,3485,94121.0,37.770346,-122.510896,92.0,103149.0,1.0,8.0,6.0,2.0,55.0,12.0,2018,4,10
1192,9948,94107.0,37.780934,-122.399772,88.0,103124.0,1.0,34.0,2.0,9.0,28856.0,34.0,2019,8,30
1193,1832,94108.0,37.790125,-122.403924,71.0,103114.0,1.0,6.0,1.0,10.0,28854.0,8.0,2018,12,3
1197,3211,94122.0,37.763503,-122.47774799999999,90.0,103142.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,8,14
1210,3951,94121.0,37.779962,-122.48508700000001,79.0,103119.0,4.0,26.0,6.0,2.0,55.0,29.0,2017,9,20
1212,1991,94122.0,37.764072999999996,-122.507779,81.0,103145.0,3.0,35.0,8.0,3.0,56.0,35.0,2019,8,14
1219,60472,94108.0,37.789995000000005,-122.405484,81.0,103103.0,3.0,6.0,1.0,10.0,28857.0,8.0,2019,5,31
1220,61923,94107.0,37.783772,-122.398875,94.0,103154.0,1.0,6.0,2.0,9.0,28856.0,8.0,2019,7,18
1223,37115,94108.0,37.791534000000006,-122.404214,87.0,103150.0,4.0,6.0,1.0,10.0,28854.0,8.0,2019,6,4
1225,36730,94118.0,37.783148,-122.46066100000002,88.0,103131.0,1.0,11.0,6.0,2.0,54.0,11.0,2016,10,6
1231,3237,94122.0,37.763273999999996,-122.483179,75.0,103142.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,8,20
1235,10433,94102.0,37.788128,-122.409705,70.0,103149.0,1.0,21.0,1.0,10.0,28852.0,21.0,2019,1,24
1237,2106,94102.0,37.786693,-122.413367,94.0,103120.0,3.0,36.0,1.0,9.0,28852.0,36.0,2019,6,7
1239,2922,94102.0,37.788882,-122.41083300000001,82.0,103119.0,4.0,21.0,1.0,10.0,28852.0,21.0,2019,7,18
1240,5156,94110.0,37.765507,-122.40756499999999,91.0,103103.0,3.0,19.0,4.0,8.0,28853.0,20.0,2019,1,9
1242,786,94111.0,37.800674,-122.40148400000001,90.0,103130.0,4.0,6.0,1.0,10.0,28860.0,8.0,2019,9,6
1250,60898,94123.0,37.800061,-122.43602,83.0,103152.0,1.0,17.0,9.0,1.0,57.0,13.0,2017,2,14
1252,2357,94110.0,37.752408,-122.418535,67.0,103131.0,1.0,19.0,4.0,7.0,28859.0,20.0,2017,6,2
1262,59520,94121.0,37.779663,-122.493618,90.0,103138.0,3.0,26.0,6.0,2.0,55.0,29.0,2019,5,29
1263,26341,94115.0,37.788113,-122.432147,96.0,103116.0,3.0,27.0,9.0,11.0,29490.0,30.0,2019,7,31
1264,2263,94118.0,37.782933,-122.46408899999999,68.0,103144.0,2.0,11.0,6.0,2.0,54.0,11.0,2019,4,2
1265,19002,94121.0,37.780421000000004,-122.479933,86.0,103133.0,1.0,26.0,6.0,2.0,55.0,29.0,2017,6,20
1271,37090,94103.0,37.772008,-122.413803,85.0,103114.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,8,6
1282,3649,94103.0,37.765708000000004,-122.409002,94.0,103133.0,1.0,19.0,4.0,8.0,28853.0,20.0,2018,12,13
1286,2358,94110.0,37.751687,-122.41845500000001,89.0,103145.0,3.0,19.0,4.0,7.0,28859.0,20.0,2019,8,7
1287,3374,94102.0,37.787217999999996,-122.40897700000001,74.0,103124.0,1.0,36.0,1.0,10.0,28852.0,36.0,2019,7,25
1305,11304,94105.0,37.787914,-122.38771799999999,88.0,103124.0,1.0,6.0,2.0,9.0,28856.0,8.0,2019,7,9
1317,919,94108.0,37.791757000000004,-122.407377,96.0,103144.0,2.0,6.0,1.0,10.0,28857.0,8.0,2019,9,27
1319,16329,94124.0,37.749798,-122.39596200000001,80.0,103119.0,4.0,1.0,3.0,8.0,28856.0,1.0,2019,8,6
1325,4421,94133.0,37.808240000000005,-122.41018899999999,90.0,103145.0,3.0,23.0,1.0,10.0,308.0,23.0,2019,8,28
1330,36875,94108.0,37.790184,-122.408468,94.0,103116.0,3.0,6.0,1.0,10.0,28857.0,8.0,2019,6,4
1333,892,94104.0,37.791348,-122.39983400000001,92.0,103129.0,4.0,6.0,1.0,10.0,28854.0,8.0,2019,6,13
1338,2240,94108.0,37.793687,-122.396592,90.0,103144.0,2.0,6.0,1.0,10.0,28860.0,8.0,2019,9,4
1339,70516,94132.0,37.731746,-122.47331799999999,87.0,103109.0,1.0,40.0,8.0,4.0,64.0,41.0,2019,6,4
1353,6800,94134.0,37.724053000000005,-122.402069,87.0,103103.0,3.0,28.0,3.0,7.0,309.0,25.0,2019,8,12
1356,60472,94108.0,37.789995000000005,-122.405484,81.0,103150.0,4.0,6.0,1.0,10.0,28857.0,8.0,2019,5,31
1365,68352,94115.0,37.788247999999996,-122.446674,96.0,103131.0,1.0,31.0,6.0,1.0,29490.0,31.0,2019,6,17
1368,15279,94112.0,37.724174,-122.43585900000001,83.0,103131.0,1.0,25.0,7.0,6.0,28861.0,28.0,2019,5,31
1371,500,94108.0,37.790003000000006,-122.40868799999998,83.0,103103.0,3.0,6.0,1.0,10.0,28857.0,8.0,2019,2,1
1373,1978,94121.0,37.775878000000006,-122.494382,75.0,103114.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,8,5
1374,63763,94110.0,37.748813,-122.42156899999999,73.0,103144.0,2.0,19.0,4.0,5.0,28859.0,20.0,2017,7,25
1380,38485,94116.0,37.742058,-122.49869199999999,92.0,103156.0,2.0,35.0,8.0,3.0,29491.0,35.0,2019,9,24
1384,39888,94131.0,37.743427000000004,-122.42666399999999,92.0,103149.0,1.0,22.0,7.0,5.0,63.0,22.0,2019,7,29
1388,66999,94123.0,37.800344,-122.439697,81.0,103150.0,4.0,17.0,9.0,1.0,57.0,13.0,2019,8,9
1392,547,94121.0,37.775728,-122.497522,84.0,103154.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,7,2
1409,6356,94118.0,37.781193,-122.458519,96.0,103119.0,4.0,16.0,6.0,2.0,54.0,18.0,2019,7,10
1412,58611,94133.0,37.800428000000004,-122.407517,87.0,103119.0,4.0,23.0,1.0,10.0,308.0,23.0,2019,8,29
1425,1791,94121.0,37.781597,-122.492544,88.0,103129.0,4.0,26.0,6.0,2.0,55.0,29.0,2019,6,12
1437,10030,94103.0,37.766864,-122.41901399999999,98.0,103144.0,2.0,19.0,4.0,7.0,28853.0,20.0,2019,9,12
1452,37090,94103.0,37.772008,-122.413803,85.0,103154.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,8,6
1459,59002,94133.0,37.796152,-122.40525500000001,94.0,103154.0,1.0,4.0,1.0,10.0,28857.0,6.0,2019,7,9
1464,61390,94103.0,37.777504,-122.406948,96.0,103120.0,3.0,34.0,2.0,9.0,28853.0,34.0,2019,7,16
1470,403,94103.0,37.784317,-122.40756299999998,88.0,103119.0,4.0,34.0,2.0,9.0,28853.0,34.0,2019,8,22
1472,16751,94103.0,37.768654,-122.415586,84.0,103131.0,1.0,19.0,4.0,7.0,28853.0,20.0,2019,8,1
1475,62548,94117.0,37.772013,-122.43104699999999,83.0,103154.0,1.0,10.0,9.0,11.0,29492.0,9.0,2019,7,8
1476,59986,94117.0,37.776838,-122.43856299999999,83.0,103144.0,2.0,41.0,5.0,11.0,29492.0,39.0,2019,6,26
1486,5257,94110.0,37.760295,-122.418953,82.0,103119.0,4.0,19.0,4.0,7.0,28859.0,20.0,2019,9,11
1491,3953,94133.0,37.799036,-122.408426,73.0,103157.0,2.0,4.0,1.0,10.0,308.0,6.0,2018,4,19
1492,1832,94108.0,37.790125,-122.403924,71.0,103116.0,3.0,6.0,1.0,10.0,28854.0,8.0,2018,12,3
1494,500,94108.0,37.790003000000006,-122.40868799999998,83.0,103145.0,3.0,6.0,1.0,10.0,28857.0,8.0,2019,2,1
1497,2995,94103.0,37.776127,-122.408602,85.0,103131.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,3,5
1505,3221,94122.0,37.764108,-122.46551200000002,85.0,103142.0,1.0,12.0,8.0,11.0,56.0,14.0,2019,7,8
1510,61923,94107.0,37.783772,-122.398875,94.0,103124.0,1.0,6.0,2.0,9.0,28856.0,8.0,2019,7,18
1512,2717,94118.0,37.782823,-122.46635900000001,76.0,103156.0,2.0,11.0,6.0,2.0,54.0,11.0,2019,1,25
1524,39113,94103.0,37.783827,-122.405051,91.0,103103.0,3.0,34.0,2.0,9.0,28853.0,34.0,2019,7,15
1527,65901,94108.0,37.795108,-122.40721299999998,94.0,103138.0,3.0,4.0,1.0,10.0,28857.0,6.0,2019,7,8
1529,37090,94103.0,37.772008,-122.413803,85.0,103142.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,8,6
1536,13838,94122.0,37.760528,-122.50399099999998,90.0,103118.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,9,11
1563,68366,94103.0,37.766324,-122.417565,92.0,103144.0,2.0,19.0,4.0,7.0,28853.0,20.0,2019,6,6
1576,268,94123.0,37.800767,-122.436924,82.0,103157.0,2.0,17.0,9.0,1.0,57.0,13.0,2019,8,13
1577,70914,94133.0,37.804303000000004,-122.41336399999999,79.0,103124.0,1.0,23.0,1.0,10.0,308.0,23.0,2019,8,6
1582,68403,94121.0,37.77554,-122.50214199999999,81.0,103120.0,3.0,26.0,6.0,2.0,55.0,29.0,2019,7,10
1587,7636,94124.0,37.729455,-122.38636399999999,78.0,103144.0,2.0,1.0,3.0,8.0,58.0,1.0,2018,10,17
1588,268,94123.0,37.800767,-122.436924,82.0,103102.0,1.0,17.0,9.0,1.0,57.0,13.0,2019,8,13
1590,3926,94102.0,37.773317,-122.421724,91.0,103154.0,1.0,10.0,2.0,11.0,28852.0,9.0,2017,11,30
1595,58879,94133.0,37.800297,-122.409107,87.0,103161.0,1.0,23.0,1.0,10.0,308.0,23.0,2019,9,23
